"","dyad",".id","edge","edge_sd","nAssociations","A","B","sexA","sexB","dyadicSex","dSex","absAgeA","absAgeB","ageDiff","resA","resB","dyadicResidency","dRes","likely.k","pk1","pk2","pk3","ageDiff_scaled","wang","wang.low","wang.high"
"39","124_1336",2,0.0098041418568971,0.0164853932533904,0,"124","1336","Male","FemaleJ","FemaleJ_Male","F-M",44,39,5,"Resident","Resident","Resident_Resident","R-R",1,0.728172,0.268482,0.003346,-0.226656647633627,0.2424,0.0177,0.3826
"40","124_162",2,0.00923538555692548,0.0147824189474786,0,"124","162","Male","FemaleJ","FemaleJ_Male","F-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",1,0.74026074026074,0.257261257261257,0.00247800247800248,-0.977594103241492,-0.1397,-0.5988,0.2737
"41","124_251",2,0.00845842688088526,0.0135989172497055,0,"124","251","Male","FemaleJ","FemaleJ_Male","F-M",44,43,1,"Resident","Resident","Resident_Resident","R-R",1,0.763052,0.235592,0.001356,-0.827406612119919,0.0807,-0.3251,0.4147
"42","124_413",1,0.120114622893575,0.0763365727848499,3,"124","413","Male","Male","Male_Male","M-M",44,43,1,"Resident","Resident","Resident_Resident","R-R",3,0.000807000807000807,0.179337179337179,0.81985581985582,-0.906780571853278,0.1264,-0.1398,0.3571
"43","124_45",1,0.00576752296708106,0.00761128193655424,0,"124","45","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",1,0.784116,0.215652,0.000232,-1.05521125513437,-0.108,-0.3763,0.171
"44","124_480",1,0.0306139944625665,0.0315830327792341,1,"124","480","Male","Male","Male_Male","M-M",44,43,1,"Resident","Resident","Resident_Resident","R-R",2,0.161107,0.709664,0.129229,-0.906780571853278,-0.2038,-0.5912,0.2223
"45","124_54",2,0.00699754453063651,0.00993544569561926,0,"124","54","Male","FemaleJ","FemaleJ_Male","F-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",1,0.812968,0.186735,0.000297,-0.977594103241492,-0.0571,-0.3973,0.2557
"46","124_619",2,0.00928950816593216,0.0159421601903217,0,"124","619","Male","FemaleJ","FemaleJ_Male","F-M",44,40,4,"Resident","Resident","Resident_Resident","R-R",1,0.728172,0.268482,0.003346,-0.3768441387552,-0.3296,-0.6282,0.0523
"47","124_677",2,0.00981416053401807,0.0157988374818225,0,"124","677","Male","FemaleJ","FemaleJ_Male","F-M",44,37,7,"Resident","Resident","Resident_Resident","R-R",1,0.715572,0.279914,0.004514,0.0737183346095196,0.026,-0.3077,0.325
"48","124_76",1,0.00783566090246832,0.0112792942742977,0,"124","76","Male","Male","Male_Male","M-M",44,44,0,"Resident","Resident","Resident_Resident","R-R",1,0.64525,0.34786,0.00689,-1.05521125513437,0.0873,-0.1887,0.375
"49","124_804",1,0.0358309140452761,0.0386047412923103,1,"124","804","Male","Male","Male_Male","M-M",44,39,5,"Resident","Resident","Resident_Resident","R-R",2,0.141895,0.679897,0.178208,-0.31305783872889,0.4307,0.1998,0.6254
"50","124_824",1,0.102210674742535,0.080973381755803,2,"124","824","Male","Male","Male_Male","M-M",44,39,5,"Resident","Resident","Resident_Resident","R-R",3,0.00926,0.342775,0.647965,-0.31305783872889,-0.0652,-0.4573,0.2653
"51","124_92",1,0.00926852102445323,0.0149809639361313,0,"124","92","Male","Male","Male_Male","M-M",44,43,1,"Resident","Resident","Resident_Resident","R-R",1,0.600934600934601,0.383335383335383,0.0157300157300157,-0.906780571853278,0.0704,-0.3574,0.3709
"52","124_961",2,0.0107559343398505,0.0188289929179226,0,"124","961","Male","FemaleJ","FemaleJ_Male","F-M",44,36,8,"Resident","Resident","Resident_Resident","R-R",1,0.695596,0.297348,0.007056,0.223905825731093,-0.0891,-0.3787,0.2936
"53","124_9907",1,0.0091045171698611,0.0147061849251337,0,"124","9907","Male","Male","Male_Male","M-M",44,37,7,"Resident","Transient","Resident_Transient","R-T",1,0.592966,0.38901,0.018024,-0.0161964721666967,0.1039,-0.1712,0.4572
"54","1313_1329",3,0.0126136799074872,0.0225273539149831,0,"1313","1329","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",35,36,1,"Resident","Resident","Resident_Resident","R-R",1,0.496380503619496,0.484406515593484,0.0192129807870192,-0.685374579677377,0.2859,0.0227,0.5692
"55","1313_1336",3,0.0115477857117946,0.0202104072317321,0,"1313","1336","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",35,39,4,"Resident","Resident","Resident_Resident","R-R",1,0.522031,0.467462,0.010507,-0.266798825782256,0.3853,0.1933,0.5687
"56","1313_162",3,0.0115785765921041,0.0224197190373914,0,"1313","162","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",35,44,9,"Resident","Resident","Resident_Resident","R-R",1,0.522031,0.467462,0.010507,0.430827430709614,2e-04,-0.3142,0.34
"57","1313_1739",2,0.0103333700004823,0.0178275416948376,0,"1313","1739","FemaleJ","Male","FemaleJ_Male","F-M",35,32,3,"Resident","Resident","Resident_Resident","R-R",1,0.709065,0.285695,0.00524,-0.527031629876773,0.1225,-0.1769,0.4879
"58","1313_1966",2,0.010658547511148,0.0178365077265299,0,"1313","1966","FemaleJ","Male","FemaleJ_Male","F-M",35,31,4,"Resident","Transient","Resident_Transient","R-T",1,0.702409,0.291509,0.006082,-0.3768441387552,0.0745,-0.2264,0.4254
"59","1313_1978",3,0.0109104030714826,0.0191476777142323,0,"1313","1978","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",35,31,4,"Resident","Transient","Resident_Transient","R-T",1,0.530124,0.461296,0.00858,-0.266798825782256,0.4202,0.3027,0.6041
"60","1313_2232",2,0.0134968566908676,0.0272503635544068,0,"1313","2232","FemaleJ","Male","FemaleJ_Male","F-M",35,30,5,"Resident","Transient","Resident_Transient","R-T",1,0.658764,0.326486,0.01475,-0.226656647633627,0.2147,-0.1058,0.4392
"61","1313_2233",2,0.01297120232547,0.0241482798472282,0,"1313","2233","FemaleJ","Male","FemaleJ_Male","F-M",35,30,5,"Resident","Transient","Resident_Transient","R-T",1,0.666546,0.320715,0.012739,-0.226656647633627,0.1416,-0.2727,0.5
"62","1313_251",3,0.0073573318695741,0.0105088400371356,0,"1313","251","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",35,43,8,"Resident","Resident","Resident_Resident","R-R",1,0.644919,0.354762,0.000319,0.29130217941124,0.0432,-0.3495,0.3529
"63","1313_413",2,0.00911487449707485,0.0137420410435968,0,"1313","413","FemaleJ","Male","FemaleJ_Male","F-M",35,43,8,"Resident","Resident","Resident_Resident","R-R",1,0.734277734277734,0.262842262842263,0.00288000288000288,0.223905825731093,0.3328,-0.0118,0.5702
"64","1313_45",2,0.00636910138164827,0.00885508506084358,0,"1313","45","FemaleJ","Male","FemaleJ_Male","F-M",35,44,9,"Resident","Resident","Resident_Resident","R-R",1,0.842560842560843,0.157338157338157,0.000101000101000101,0.374093316852666,3e-04,-0.3638,0.3468
"65","1313_4513",3,0.0103384988765381,0.0174400115841569,0,"1313","4513","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",35,24,11,"Resident","Resident","Resident_Resident","R-R",1,0.545806,0.448481,0.005713,0.709877933306362,-0.0555,-0.3786,0.2529
