"","dyad","edge","edge_sd","nAssociations","A","B","sexA","sexB","dyadicSex","dSex","absAgeA","absAgeB","ageDiff","resA","resB","dyadicResidency","dRes","likely.k","pk1","pk2","pk3","ageDiff_scaled"
"43","1019_170",0.0220368361487884,0.0222964509248294,1,"1019","170","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Resident","Resident_Resident","R-R",2,0.040892,0.955793,0.003315,-0.685374579677377
"44","1019_1917",0.0133430354608349,0.026159062667268,0,"1019","1917","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,31,6,"Resident","Transient","Resident_Transient","R-T",1,0.496380503619496,0.484406515593484,0.0192129807870192,0.0122516768144921
"45","1019_1929",0.0112901380004716,0.0216535294723093,0,"1019","1929","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,31,6,"Resident","Resident","Resident_Resident","R-R",1,0.522031,0.467462,0.010507,0.0122516768144921
"46","1019_1930",0.011930222130561,0.02254120762565,0,"1019","1930","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,31,6,"Resident","Transient","Resident_Transient","R-T",1,0.505197,0.479079,0.015724,0.0122516768144921
"47","1019_1978",0.0117281245873366,0.0205092131297672,0,"1019","1978","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,31,6,"Resident","Transient","Resident_Transient","R-T",1,0.522031,0.467462,0.010507,0.0122516768144921
"48","1019_222",0.00840328660206608,0.0130336158324482,0,"1019","222","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,35,2,"Resident","Resident","Resident_Resident","R-R",1,0.61801,0.381259,0.000731,-0.545849328379004
"49","1019_251",0.00624070821810394,0.00869535434276872,0,"1019","251","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,43,6,"Resident","Resident","Resident_Resident","R-R",1,0.736444,0.263542,1.4e-05,0.0122516768144921
"50","1019_303",0.00755330932592693,0.0104302040628046,0,"1019","303","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Resident","Resident_Resident","R-R",1,0.644919,0.354762,0.000319,-0.824899830975751
"51","1019_409",0.00624215072971201,0.00889529701054914,0,"1019","409","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Resident","Resident_Resident","R-R",1,0.719411,0.280563,2.6e-05,-0.824899830975751
"52","1019_418",0.0123500794608809,0.024760271527199,0,"1019","418","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,43,6,"Resident","Resident","Resident_Resident","R-R",1,0.505197,0.479079,0.015724,0.0122516768144921
"53","1019_507",0.0071940563544289,0.0100839801863897,0,"1019","507","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,40,3,"Resident","Resident","Resident_Resident","R-R",1,0.664443,0.335386,0.000171,-0.40632407708063
"54","1019_531",0.018801094191964,0.0184983140438236,1,"1019","531","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,43,6,"Resident","Resident","Resident_Resident","R-R",2,0.049647,0.949478,0.000875,0.0122516768144921
"55","1019_54",0.00552839460755525,0.00699486356282173,0,"1019","54","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,44,7,"Resident","Resident","Resident_Resident","R-R",1,0.773512,0.226485,3e-06,0.151776928112866
"56","1019_617",0.0105793606760625,0.0181591394186553,0,"1019","617","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,40,3,"Resident","Resident","Resident_Resident","R-R",1,0.545806,0.448481,0.005713,-0.40632407708063
"57","1019_619",0.0122185290196372,0.0224196574619289,0,"1019","619","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,40,3,"Resident","Resident","Resident_Resident","R-R",1,0.513733,0.473409,0.012858,-0.40632407708063
"58","1019_633",0.0123146869160021,0.0223133531764157,0,"1019","633","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,40,3,"Resident","Resident","Resident_Resident","R-R",1,0.505197,0.479079,0.015724,-0.40632407708063
"59","1019_635",0.0133912190075037,0.0266388947823247,0,"1019","635","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,40,3,"Resident","Resident","Resident_Resident","R-R",1,0.496380503619496,0.484406515593484,0.0192129807870192,-0.40632407708063
"60","1019_649",0.0070670962683149,0.0100313912204162,0,"1019","649","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Resident","Resident_Resident","R-R",1,0.657998,0.341791,0.000211,-0.824899830975751
"61","1019_653",0.00658945220756626,0.00865424023739228,0,"1019","653","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,40,3,"Resident","Resident","Resident_Resident","R-R",1,0.713585,0.286383,3.2e-05,-0.40632407708063
"62","1019_674",0.0477461474438962,0.0363842801961277,2,"1019","674","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,40,3,"Resident","Resident","Resident_Resident","R-R",2,0.000813,0.959244,0.039943,-0.40632407708063
"63","1019_677",0.00678842706514442,0.00963858499406051,0,"1019","677","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Resident","Resident_Resident","R-R",1,0.68956368956369,0.31036231036231,7.4000074000074e-05,-0.824899830975751
"64","1019_832",0.0188453356905503,0.0182411106638565,1,"1019","832","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,39,2,"Resident","Resident","Resident_Resident","R-R",2,0.051025,0.948252,0.000723,-0.545849328379004
"65","1019_89",0.00711926631146534,0.00995199927226204,0,"1019","89","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,44,7,"Resident","Resident","Resident_Resident","R-R",1,0.657998,0.341791,0.000211,0.151776928112866
"66","1019_9",0.00775208188344868,0.0113451356576388,0,"1019","9","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,44,7,"Resident","Resident","Resident_Resident","R-R",1,0.638285,0.361322,0.000393,0.151776928112866
"67","1019_94",0.0578846212733227,0.0465410369438143,2,"1019","94","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,43,6,"Resident","Resident","Resident_Resident","R-R",2,0.000663,0.902503,0.096834,0.0122516768144921
"68","1019_950",0.00635638732315538,0.00854355691253843,0,"1019","950","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Resident","Resident_Resident","R-R",1,0.707685292314708,0.292274707725292,3.999996000004e-05,-0.685374579677377
"69","1019_952",0.0063056081892392,0.00849958202042974,0,"1019","952","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,38,1,"Resident","Resident","Resident_Resident","R-R",1,0.719411,0.280563,2.6e-05,-0.685374579677377
"70","1019_961",0.00709403761473075,0.0100867864527202,0,"1019","961","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Resident","Resident_Resident","R-R",1,0.664443,0.335386,0.000171,-0.685374579677377
"71","1019_9901",0.0067700216708658,0.00904470209482678,0,"1019","9901","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,44,7,"Resident","Resident","Resident_Resident","R-R",1,0.670822,0.329039,0.000139,0.151776928112866
"72","1020_1025",0.00977640277055187,0.0160180831569356,0,"1020","1025","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Resident","Resident_Resident","R-R",1,0.560954439045561,0.435248564751435,0.0037969962030038,-0.824899830975751
"73","1020_1040",0.00903267705504351,0.0145719398120988,0,"1020","1040","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Resident","Resident_Resident","R-R",1,0.590079,0.408251,0.00167,-0.824899830975751
"74","1020_1045",0.0486526924002881,0.0582874835719796,1,"1020","1045","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Transient","Resident_Transient","R-T",2,0.020489,0.849597,0.129914,-0.824899830975751
"75","1020_1046",0.0264823472640178,0.0280843910897186,1,"1020","1046","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Resident","Resident_Resident","R-R",2,0.0334,0.954147,0.012453,-0.824899830975751
"76","1020_1062",0.0091556561415441,0.0135124473991492,0,"1020","1062","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Transient","Resident_Transient","R-T",1,0.575687,0.421793,0.00252,-0.824899830975751
"77","1020_1147",0.0096691485484852,0.0160155574753285,0,"1020","1147","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Resident","Resident_Resident","R-R",1,0.568367568367568,0.428539428539429,0.00309300309300309,-0.824899830975751
"78","1020_1174",0.0110542421653918,0.0188315383854621,0,"1020","1174","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Transient","Resident_Transient","R-T",1,0.522031,0.467462,0.010507,-0.824899830975751
"79","1020_1254",0.0117434973329781,0.0216391005315926,0,"1020","1254","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Transient","Resident_Transient","R-T",1,0.530124,0.461296,0.00858,-0.685374579677377
"80","1020_131",0.0091389022191919,0.014332216889754,0,"1020","131","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,44,7,"Resident","Resident","Resident_Resident","R-R",1,0.560954439045561,0.435248564751435,0.0037969962030038,0.151776928112866
"81","1020_1315",0.0100756041283558,0.015661460120703,0,"1020","1315","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Transient","Resident_Transient","R-T",1,0.538041,0.454956,0.007003,-0.685374579677377
"82","1020_1325",0.0108311346889901,0.0193781667764462,0,"1020","1325","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Transient","Resident_Transient","R-T",1,0.530124,0.461296,0.00858,-0.685374579677377
"83","1020_1329",0.0109981316039248,0.0190675222609124,0,"1020","1329","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Resident","Resident_Resident","R-R",1,0.530124,0.461296,0.00858,-0.685374579677377
"84","1020_1332",0.0102230222389176,0.0167518017348554,0,"1020","1332","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Resident","Resident_Resident","R-R",1,0.530124,0.461296,0.00858,-0.685374579677377
"85","1020_1334",0.0111219668190261,0.0195840308004455,0,"1020","1334","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,34,3,"Resident","Resident","Resident_Resident","R-R",1,0.522031,0.467462,0.010507,-0.40632407708063
"86","1020_1336",0.00918390519605585,0.0145375656518314,0,"1020","1336","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,39,2,"Resident","Resident","Resident_Resident","R-R",1,0.568367568367568,0.428539428539429,0.00309300309300309,-0.545849328379004
"87","1020_1337",0.0394742613840012,0.0435156107555125,1,"1020","1337","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Resident","Resident_Resident","R-R",2,0.0236149763850236,0.898522101477899,0.0778629221370779,-0.685374579677377
"88","1020_1344",0.0111871498945657,0.0196449304494572,0,"1020","1344","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Transient","Resident_Transient","R-T",1,0.530124,0.461296,0.00858,-0.685374579677377
"89","1020_1346",0.0113583509108333,0.0198252690787524,0,"1020","1346","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Transient","Resident_Transient","R-T",1,0.530124,0.461296,0.00858,-0.685374579677377
"90","1020_1357",0.0101095087489437,0.0173133068489801,0,"1020","1357","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Transient","Resident_Transient","R-T",1,0.545806,0.448481,0.005713,-0.685374579677377
"91","1020_1358",0.0103297756395101,0.0182826791439753,0,"1020","1358","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Resident","Resident_Resident","R-R",1,0.553439,0.441903,0.004658,-0.685374579677377
"92","1020_1364",0.0400161336218118,0.0434659857581323,1,"1020","1364","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Resident","Resident_Resident","R-R",2,0.022596,0.884756,0.092648,-0.685374579677377
"93","1020_1370",0.0110820892643571,0.0195298129989212,0,"1020","1370","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Transient","Resident_Transient","R-T",1,0.530124,0.461296,0.00858,-0.685374579677377
"94","1020_159",0.00849103895122333,0.0133294548879531,0,"1020","159","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,44,7,"Resident","Resident","Resident_Resident","R-R",1,0.604177395822604,0.394716605283395,0.00110599889400111,0.151776928112866
"95","1020_162",0.009181027430701,0.0146383220792183,0,"1020","162","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,44,7,"Resident","Resident","Resident_Resident","R-R",1,0.568367568367568,0.428539428539429,0.00309300309300309,0.151776928112866
"96","1020_17",0.00957328226889301,0.0163836047054503,0,"1020","17","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,44,7,"Resident","Resident","Resident_Resident","R-R",1,0.568367568367568,0.428539428539429,0.00309300309300309,0.151776928112866
"97","1020_170",0.0111444187719126,0.0183401151746809,0,"1020","170","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,36,1,"Resident","Resident","Resident_Resident","R-R",1,0.530124,0.461296,0.00858,-0.685374579677377
"98","1020_251",0.00991661471065695,0.0161653323623046,0,"1020","251","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,43,6,"Resident","Resident","Resident_Resident","R-R",1,0.553439,0.441903,0.004658,0.0122516768144921
"99","1020_303",0.00998982881418088,0.0171141735636693,0,"1020","303","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Resident","Resident_Resident","R-R",1,0.560954439045561,0.435248564751435,0.0037969962030038,-0.824899830975751
"100","1020_409",0.00852457794506239,0.014085678209402,0,"1020","409","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,37,0,"Resident","Resident","Resident_Resident","R-R",1,0.597163,0.401478,0.001359,-0.824899830975751
"101","1020_418",0.0112154105694291,0.0198255072236305,0,"1020","418","FemaleJ","FemaleJ","FemaleJ_FemaleJ","F-F",37,43,6,"Resident","Resident","Resident_Resident","R-R",1,0.530124,0.461296,0.00858,0.0122516768144921
